regime,d,alpha,seed,kl_noisy,mean_payoff,mean_action,mean_body_out,action_var,convergence_time,w_out_norm2
scaled,5,0.0,0,0.101145,2.897500,0.907500,0.960266,0.08394375,0,9.41018260
scaled,5,0.1,0,0.102057,2.887452,0.912830,0.960803,0.06812818,0,9.41018260
scaled,5,0.2,0,0.068158,2.877556,0.918098,0.960492,0.05393998,0,9.41018260
scaled,5,0.3,0,0.089691,2.866997,0.923735,0.961618,0.04125854,0,9.41018260
scaled,5,0.4,0,0.042537,2.856262,0.929430,0.962325,0.03048680,0,9.41018260
scaled,5,0.5,0,0.064068,2.845893,0.934942,0.962385,0.02111805,0,9.41018260
scaled,5,0.6,0,0.072627,2.836362,0.939998,0.961663,0.01366491,0,9.41018260
scaled,5,0.7,0,0.081354,2.825460,0.945783,0.962189,0.00774157,0,9.41018260
scaled,5,0.8,0,0.070025,2.814390,0.951714,0.962768,0.00353434,0,9.41018260
scaled,5,0.9,0,0.066614,2.804682,0.956831,0.962313,0.00111297,0,9.41018260
scaled,5,1.0,0,0.103310,2.792147,0.963544,0.963544,0.00028220,199,9.41018260
scaled,5,0.0,1,0.000000,2.882000,0.896000,0.992995,0.09318400,0,64.98514806
scaled,5,0.1,1,0.019734,2.863835,0.905674,0.992741,0.07608757,0,64.98514806
scaled,5,0.2,1,0.011177,2.845390,0.915494,0.993472,0.06049952,0,64.98514806
scaled,5,0.3,1,0.021101,2.827836,0.924804,0.992012,0.04729610,0,64.98514806
scaled,5,0.4,1,0.000000,2.808780,0.934976,0.993441,0.03485428,0,64.98514806
scaled,5,0.5,1,0.000781,2.790953,0.944447,0.992893,0.02483025,0,64.98514806
scaled,5,0.6,1,0.000000,2.772297,0.954337,0.993228,0.01641920,0,64.98514806
scaled,5,0.7,1,0.003456,2.754031,0.964187,0.993410,0.00976129,0,64.98514806
scaled,5,0.8,1,0.033248,2.735805,0.973879,0.993349,0.00478982,0,64.98514806
scaled,5,0.9,1,0.000511,2.717087,0.983726,0.993473,0.00168713,0,64.98514806
scaled,5,1.0,1,0.024293,2.701503,0.991960,0.991960,0.00089422,158,64.98514806
scaled,5,0.0,2,0.064118,2.878000,0.891500,0.980207,0.09672775,0,50.84705746
scaled,5,0.1,2,0.024462,2.861569,0.900364,0.980135,0.07876095,0,50.84705746
scaled,5,0.2,2,0.000000,2.845099,0.909208,0.980040,0.06263814,0,50.84705746
scaled,5,0.3,2,0.000000,2.827822,0.918551,0.981670,0.04816383,0,50.84705746
scaled,5,0.4,2,0.001646,2.810790,0.927689,0.981973,0.03572372,0,50.84705746
scaled,5,0.5,2,0.016587,2.794145,0.936727,0.981953,0.02506599,0,50.84705746
scaled,5,0.6,2,0.000000,2.776899,0.945986,0.982310,0.01629474,0,50.84705746
scaled,5,0.7,2,0.023531,2.759752,0.955127,0.982395,0.00954234,0,50.84705746
scaled,5,0.8,2,0.000000,2.744465,0.963312,0.981265,0.00479794,0,50.84705746
scaled,5,0.9,2,0.000000,2.727107,0.972866,0.981907,0.00180447,0,50.84705746
scaled,5,1.0,2,0.035366,2.711918,0.980871,0.980871,0.00068983,200,50.84705746
scaled,5,0.0,3,0.113427,2.874000,0.885500,0.999361,0.10138975,0,40.01867218
scaled,5,0.1,3,0.080393,2.852501,0.896896,0.999460,0.08217462,0,40.01867218
scaled,5,0.2,3,0.076110,2.830969,0.908312,0.999558,0.06495441,0,40.01867218
scaled,5,0.3,3,0.087001,2.809445,0.919721,0.999568,0.04975978,0,40.01867218
scaled,5,0.4,3,0.054465,2.787922,0.931130,0.999574,0.03659305,0,40.01867218
scaled,5,0.5,3,0.105846,2.766412,0.942529,0.999559,0.02544595,0,40.01867218
scaled,5,0.6,3,0.093668,2.744881,0.953943,0.999572,0.01631658,0,40.01867218
scaled,5,0.7,3,0.092207,2.723442,0.965310,0.999515,0.00923040,0,40.01867218
scaled,5,0.8,3,0.077889,2.701865,0.976746,0.999557,0.00412602,0,40.01867218
scaled,5,0.9,3,0.097970,2.680325,0.988169,0.999577,0.00105014,0,40.01867218
scaled,5,1.0,3,0.089233,2.658903,0.999522,0.999522,0.00000392,0,40.01867218
scaled,5,0.0,4,0.106053,2.884500,0.892500,0.967584,0.09594375,0,6.54975587
scaled,5,0.1,4,0.135179,2.869930,0.900027,0.967768,0.07858970,0,6.54975587
scaled,5,0.2,4,0.123660,2.855111,0.907690,0.968450,0.06301751,0,6.54975587
scaled,5,0.3,4,0.110520,2.840036,0.915484,0.969114,0.04896766,0,6.54975587
scaled,5,0.4,4,0.138180,2.825178,0.923177,0.969193,0.03664537,0,6.54975587
scaled,5,0.5,4,0.110740,2.808903,0.931514,0.970528,0.02605648,0,6.54975587
scaled,5,0.6,4,0.108315,2.793490,0.939509,0.970848,0.01744963,0,6.54975587
scaled,5,0.7,4,0.074442,2.777877,0.947550,0.971143,0.01028677,0,6.54975587
scaled,5,0.8,4,0.136878,2.763256,0.955076,0.970720,0.00543566,0,6.54975587
scaled,5,0.9,4,0.084756,2.746701,0.963765,0.971684,0.00178760,0,6.54975587
scaled,5,1.0,4,0.104323,2.731645,0.971392,0.971392,0.00028411,198,6.54975587
scaled,5,0.0,5,0.211366,2.897000,0.907000,0.828098,0.08435100,0,20.35076336
scaled,5,0.1,5,0.194332,2.911666,0.899367,0.830674,0.06823613,0,20.35076336
scaled,5,0.2,5,0.244120,2.926589,0.891596,0.829978,0.05372551,0,20.35076336
scaled,5,0.3,5,0.199871,2.941233,0.884143,0.830812,0.04144841,0,20.35076336
scaled,5,0.4,5,0.189137,2.952210,0.878234,0.835084,0.03079358,0,20.35076336
scaled,5,0.5,5,0.183536,2.964291,0.872206,0.837411,0.02204254,0,20.35076336
scaled,5,0.6,5,0.163414,2.978280,0.864953,0.836922,0.01544835,0,20.35076336
scaled,5,0.7,5,0.198599,2.998336,0.854184,0.831549,0.01053159,0,20.35076336
scaled,5,0.8,5,0.206305,3.006885,0.849712,0.835390,0.00837838,0,20.35076336
scaled,5,0.9,5,0.166816,3.025352,0.839396,0.831884,0.00742282,0,20.35076336
scaled,5,1.0,5,0.148020,3.029863,0.838395,0.838395,0.00809924,199,20.35076336
scaled,5,0.0,6,1.411382,2.899000,0.907500,0.264087,0.08394375,0,61.24812829
scaled,5,0.1,6,1.231506,3.023586,0.842180,0.254301,0.06988837,0,61.24812829
scaled,5,0.2,6,1.057500,3.155807,0.773052,0.235260,0.05805462,0,61.24812829
scaled,5,0.3,6,0.863278,3.288609,0.702953,0.225675,0.04823268,0,61.24812829
scaled,5,0.4,6,0.769650,3.431777,0.628406,0.209766,0.03951729,0,61.24812829
scaled,5,0.5,6,0.564851,3.572777,0.554072,0.200644,0.03352644,0,61.24812829
scaled,5,0.6,6,0.441230,3.709177,0.482482,0.199136,0.03142353,0,61.24812829
scaled,5,0.7,6,0.311675,3.837429,0.415703,0.204933,0.02871871,0,61.24812829
scaled,5,0.8,6,0.161309,3.976263,0.342886,0.201732,0.02839234,0,61.24812829
scaled,5,0.9,6,0.040900,4.122179,0.266141,0.194879,0.03092742,0,61.24812829
scaled,5,1.0,6,0.000000,4.236704,0.205992,0.205992,0.04121731,200,61.24812829
scaled,5,0.0,7,0.000000,2.900500,0.905500,0.994062,0.08556975,0,73.85092341
scaled,5,0.1,7,0.047956,2.883237,0.914357,0.994073,0.06936370,0,73.85092341
scaled,5,0.2,7,0.000000,2.866100,0.923124,0.993618,0.05485854,0,73.85092341
scaled,5,0.3,7,0.008121,2.848805,0.932012,0.993874,0.04218739,0,73.85092341
scaled,5,0.4,7,0.005431,2.831455,0.940893,0.993983,0.03092311,0,73.85092341
scaled,5,0.5,7,0.000000,2.814198,0.949765,0.994030,0.02165126,0,73.85092341
scaled,5,0.6,7,0.000000,2.797058,0.958581,0.993968,0.01391490,0,73.85092341
scaled,5,0.7,7,0.000000,2.779548,0.967515,0.994093,0.00791599,0,73.85092341
scaled,5,0.8,7,0.000000,2.762485,0.976287,0.993983,0.00367432,0,73.85092341
