agent,gamma,seed,action_var,kl_noisy,mean_payoff,mean_action,perturbation_depth,recovery_time
reservoir,1.000,0,0.00002259,0.338247,2.752464,0.984291,0.954865,0
tft,0.000,0,0.08394375,NA,2.901000,0.907500,0.000000,1
ema_tft,0.500,0,0.02708052,NA,2.900295,0.907500,0.000000,5
ema_tft,0.900,0,0.00390343,NA,2.899287,0.907610,0.000030,29
ema_tft,0.950,0,0.00192455,NA,2.898134,0.908067,0.006232,59
ema_tft,0.990,0,0.00063611,NA,2.889711,0.912328,0.369730,200
reservoir,1.000,1,0.00197482,0.435463,2.793305,0.946214,0.629482,1
tft,0.000,1,0.09239100,NA,2.887000,0.897000,0.000000,1
ema_tft,0.500,1,0.03054105,NA,2.886775,0.897000,0.000000,5
ema_tft,0.900,1,0.00499334,NA,2.886051,0.897112,0.000030,29
ema_tft,0.950,1,0.00255612,NA,2.885560,0.897353,0.006232,59
ema_tft,0.990,1,0.00079539,NA,2.878746,0.900980,0.369730,200
reservoir,1.000,2,0.00014433,0.235670,2.758223,0.976526,0.874123,1
tft,0.000,2,0.08637975,NA,2.898500,0.904500,0.000000,1
ema_tft,0.500,2,0.02753885,NA,2.897261,0.904500,0.000000,5
ema_tft,0.900,2,0.00422821,NA,2.895703,0.904507,0.000030,29
ema_tft,0.950,2,0.00203742,NA,2.895262,0.904665,0.006232,59
ema_tft,0.990,2,0.00046225,NA,2.888755,0.908070,0.369730,200
reservoir,1.000,3,0.00006454,0.305225,2.759042,0.978442,0.909428,0
tft,0.000,3,0.08516400,NA,2.896000,0.906000,0.000000,1
ema_tft,0.500,3,0.02870376,NA,2.896690,0.906000,0.000000,5
ema_tft,0.900,3,0.00443628,NA,2.896426,0.906426,0.000030,29
ema_tft,0.950,3,0.00201817,NA,2.895206,0.907139,0.006232,59
ema_tft,0.990,3,0.00027885,NA,2.888223,0.910874,0.369730,200
reservoir,1.000,4,0.00018130,0.416200,2.753711,0.971751,0.862295,0
tft,0.000,4,0.09000000,NA,2.894000,0.900000,0.000000,1
ema_tft,0.500,4,0.02862571,NA,2.892061,0.900000,0.000000,5
ema_tft,0.900,4,0.00441535,NA,2.890267,0.900040,0.000030,29
ema_tft,0.950,4,0.00207247,NA,2.889718,0.900289,0.006232,59
ema_tft,0.990,4,0.00040612,NA,2.882961,0.903847,0.369730,200
reservoir,1.000,5,0.00012542,0.440080,2.713344,0.978625,0.899553,0
tft,0.000,5,0.09711900,NA,2.883500,0.891000,0.000000,1
ema_tft,0.500,5,0.03054543,NA,2.881752,0.891063,0.000000,5
ema_tft,0.900,5,0.00401897,NA,2.879473,0.891439,0.000030,29
ema_tft,0.950,5,0.00180466,NA,2.878167,0.891907,0.006232,59
ema_tft,0.990,5,0.00060096,NA,2.868671,0.896607,0.369730,200
reservoir,1.000,6,0.00028009,0.995360,2.747195,0.984659,0.786823,1
tft,0.000,6,0.08516400,NA,2.896500,0.906000,0.000000,1
ema_tft,0.500,6,0.02886985,NA,2.896441,0.906000,0.000000,5
ema_tft,0.900,6,0.00448234,NA,2.896687,0.906260,0.000030,29
ema_tft,0.950,6,0.00213634,NA,2.895776,0.906777,0.006232,59
ema_tft,0.990,6,0.00059178,NA,2.889759,0.909904,0.369730,200
reservoir,1.000,7,0.00000871,0.768055,2.732850,0.992218,0.965634,0
tft,0.000,7,0.08516400,NA,2.897500,0.906000,0.000000,1
ema_tft,0.500,7,0.02818609,NA,2.897174,0.906156,0.000000,5
ema_tft,0.900,7,0.00429126,NA,2.895940,0.906756,0.000030,29
ema_tft,0.950,7,0.00200035,NA,2.895310,0.907095,0.006232,59
ema_tft,0.990,7,0.00046557,NA,2.889662,0.910022,0.369730,200
reservoir,1.000,8,0.00000242,0.540877,2.707281,0.996955,0.981028,0
tft,0.000,8,0.08959975,NA,2.891500,0.900500,0.000000,1
ema_tft,0.500,8,0.03020597,NA,2.890085,0.900503,0.000000,5
ema_tft,0.900,8,0.00499077,NA,2.888960,0.901221,0.000030,29
ema_tft,0.950,8,0.00227775,NA,2.887863,0.901971,0.006232,59
ema_tft,0.990,8,0.00059364,NA,2.879442,0.906404,0.369730,200
reservoir,1.000,9,0.00017368,0.761730,2.744550,0.969378,0.851107,1
tft,0.000,9,0.09318400,NA,2.884500,0.896000,0.000000,1
ema_tft,0.500,9,0.03048536,NA,2.884547,0.896000,0.000000,5
ema_tft,0.900,9,0.00418317,NA,2.883747,0.896362,0.000030,29
ema_tft,0.950,9,0.00197039,NA,2.882418,0.896899,0.006232,59
ema_tft,0.990,9,0.00046383,NA,2.874833,0.900776,0.369730,200
reservoir,1.000,10,0.00004547,0.942603,2.721759,0.993291,0.856977,1
tft,0.000,10,0.08759100,NA,2.892500,0.903000,0.000000,1
ema_tft,0.500,10,0.02955099,NA,2.893053,0.903004,0.000000,5
ema_tft,0.900,10,0.00454304,NA,2.893199,0.903254,0.000030,29
