H,alpha,seed,kl,mean_payoff,mean_action,mean_body_out,fe_low,fe_mid,fe_high
0,0.00,0,1.613508,2.888000,0.900000,0.904186,-1.274492,1.952524,10.020064
0,0.10,0,1.403573,2.886332,0.900978,0.909780,-1.482759,1.324388,8.342255
0,0.20,0,1.094307,2.882768,0.902986,0.914931,-1.788460,0.400154,5.871691
0,0.30,0,0.878145,2.877725,0.905735,0.919117,-1.999579,-0.243289,4.147438
0,0.40,0,0.622636,2.871109,0.909310,0.923275,-2.248473,-1.003200,2.109981
0,0.50,0,0.537559,2.863485,0.913395,0.926791,-2.325927,-1.250810,1.436983
0,0.60,0,0.309143,2.855901,0.917534,0.929224,-2.546758,-1.928472,-0.382757
0,0.70,0,0.249814,2.847396,0.921997,0.931424,-2.597582,-2.097953,-0.848881
0,0.80,0,0.257467,2.841110,0.925534,0.931918,-2.583643,-2.068708,-0.781373
0,0.90,0,0.161427,2.830580,0.931206,0.934673,-2.669153,-2.346299,-1.539164
0,1.00,0,0.362627,2.824719,0.934340,0.934340,-2.462091,-1.736837,0.076300
0,0.00,1,3.242200,2.899000,0.906000,0.885570,0.343200,6.827600,23.038600
0,0.10,1,2.971563,2.901527,0.904551,0.891507,0.070036,6.013162,20.870978
0,0.20,1,2.760930,2.902038,0.904212,0.897062,-0.141108,5.380753,19.185403
0,0.30,1,2.482590,2.900578,0.904886,0.902286,-0.417988,4.547192,16.960143
0,0.40,1,2.290712,2.899400,0.905405,0.904513,-0.608688,3.972736,15.426294
0,0.50,1,2.158721,2.894750,0.907809,0.909617,-0.736029,3.581413,14.375017
0,0.60,1,1.889511,2.889508,0.910477,0.913462,-0.999997,2.779025,12.226580
0,0.70,1,1.913179,2.887435,0.911304,0.913577,-0.974256,2.852102,12.417997
0,0.80,1,1.716234,2.880982,0.914616,0.916770,-1.164748,2.267720,10.848889
0,0.90,1,1.670268,2.874397,0.918083,0.919426,-1.204129,2.136407,10.487745
0,1.00,1,1.485009,2.868224,0.921155,0.921155,-1.383215,1.586803,9.011847
0,0.00,2,2.969181,2.877000,0.887000,0.845127,0.092181,6.030543,20.876447
0,0.10,2,2.756677,2.884656,0.882883,0.845835,-0.127979,5.385376,19.168762
0,0.20,2,2.540247,2.890201,0.879852,0.851262,-0.349954,4.730541,17.431777
0,0.30,2,2.448032,2.896523,0.876339,0.851462,-0.448491,4.447572,16.687732
0,0.40,2,2.338185,2.900961,0.873939,0.854348,-0.562776,4.113595,15.804521
0,0.50,2,2.134820,2.906407,0.871107,0.855214,-0.771587,3.498053,14.172154
0,0.60,2,1.904095,2.911347,0.868262,0.855769,-1.007252,2.800939,12.321416
0,0.70,2,1.874830,2.911630,0.868066,0.859952,-1.036800,2.712860,12.087011
0,0.80,2,1.836220,2.915515,0.865857,0.860571,-1.079295,2.593146,11.774246
0,0.90,2,1.727133,2.919371,0.863842,0.861268,-1.192238,2.262029,10.897694
0,1.00,2,1.623674,2.923079,0.861894,0.861894,-1.299404,1.947944,10.066315
0,0.00,3,2.229132,2.900500,0.908500,0.893757,-0.671368,3.786897,14.932558
0,0.10,3,2.082801,2.903132,0.907097,0.894467,-0.820330,3.345272,13.759278
0,0.20,3,1.988884,2.905264,0.905975,0.895876,-0.916380,3.061387,13.005806
0,0.30,3,1.995258,2.907624,0.904735,0.895950,-0.912366,3.078150,13.054441
0,0.40,3,1.890848,2.908107,0.904566,0.898664,-1.017259,2.764438,12.218680
0,0.50,3,1.727091,2.908284,0.904445,0.900390,-1.181193,2.272989,10.908445
0,0.60,3,1.521306,2.910294,0.903409,0.900015,-1.388989,1.653623,9.260152
0,0.70,3,1.508582,2.910612,0.903188,0.900912,-1.402031,1.615133,9.158041
0,0.80,3,1.543523,2.912317,0.902326,0.900782,-1.368794,1.718251,9.435866
0,0.90,3,1.447670,2.911097,0.902832,0.902202,-1.463427,1.431913,8.670263
0,1.00,3,1.441844,2.911419,0.902740,0.902740,-1.469576,1.414112,8.623332
0,0.00,4,3.321431,2.886500,0.898000,0.888872,0.434931,7.077794,23.684951
0,0.10,4,3.160209,2.888142,0.897180,0.889799,0.272068,6.592487,22.393534
0,0.20,4,2.912527,2.889626,0.896443,0.890215,0.022901,5.847955,20.410589
0,0.30,4,2.816194,2.890606,0.895877,0.890923,-0.074412,5.557977,19.638948
0,0.40,4,2.816798,2.891624,0.895358,0.891394,-0.074826,5.558769,19.642757
0,0.50,4,2.661256,2.891764,0.895425,0.892850,-0.230508,5.092004,18.398285
0,0.60,4,2.362453,2.893871,0.894316,0.891860,-0.531419,4.193486,16.005749
0,0.70,4,2.363081,2.893993,0.894174,0.892534,-0.530911,4.195252,16.010659
0,0.80,4,2.325619,2.893811,0.894420,0.893525,-0.568192,4.083046,15.711140
0,0.90,4,2.265218,2.892791,0.895201,0.894890,-0.627573,3.902863,15.228953
0,1.00,4,2.139244,2.895087,0.893650,0.893650,-0.755843,3.522646,14.218868
0,0.00,5,2.142387,2.887500,0.896500,0.902127,-0.745113,3.539661,14.251595
0,0.10,5,1.927712,2.885404,0.897485,0.906353,-0.957692,2.897733,12.536294
0,0.20,5,1.830117,2.883647,0.898300,0.905499,-1.053530,2.606705,11.757292
0,0.30,5,1.702154,2.880712,0.899755,0.907350,-1.178558,2.225749,10.736518
0,0.40,5,1.680321,2.877349,0.901388,0.908719,-1.197028,2.163614,10.565217
0,0.50,5,1.436292,2.874235,0.902979,0.909458,-1.437943,1.434640,8.616099
0,0.60,5,1.371225,2.870852,0.904735,0.910224,-1.499627,1.242823,8.098947
0,0.70,5,1.225652,2.866395,0.907034,0.911549,-1.640743,0.810560,6.938819
0,0.80,5,1.208458,2.860856,0.909934,0.913292,-1.652397,0.764520,6.806812
0,0.90,5,1.270430,2.853668,0.913404,0.915282,-1.583238,0.957622,7.309772
0,1.00,5,1.152986,2.849313,0.915876,0.915876,-1.696327,0.609645,6.374576
0,0.00,6,3.036407,2.893500,0.901000,0.865904,0.142907,6.215722,21.397759
0,0.10,6,2.909761,2.899549,0.897769,0.868692,0.010211,5.829733,20.378537
0,0.20,6,2.617084,2.904856,0.894868,0.870341,-0.287771,4.946397,18.031819
0,0.30,6,2.401099,2.909227,0.892526,0.872753,-0.508128,4.294070,16.299566
0,0.40,6,2.238024,2.910480,0.891767,0.877917,-0.672456,3.803593,14.993713
0,0.50,6,1.896277,2.913751,0.889949,0.878899,-1.017475,2.775079,12.256464
0,0.60,6,1.847817,2.916650,0.888427,0.880045,-1.068833,2.626800,11.865882
0,0.70,6,1.703748,2.916897,0.887985,0.882407,-1.213149,2.194346,10.713085
0,0.80,6,1.478181,2.914645,0.889091,0.886113,-1.436464,1.519899,8.910805
0,0.90,6,1.412797,2.914640,0.889463,0.888181,-1.501843,1.323752,8.387739
0,1.00,6,1.209693,2.912870,0.889927,0.889927,-1.703177,0.716210,6.764677
0,0.00,7,3.508005,2.892000,0.900500,0.881436,0.616005,7.632016,25.172043
0,0.10,7,3.180584,2.894950,0.898866,0.884158,0.285635,6.646803,22.549726
0,0.20,7,2.979252,2.896713,0.897898,0.887488,0.082539,6.041043,20.937303
0,0.30,7,2.739980,2.897997,0.897076,0.889085,-0.158017,5.321943,19.021842
0,0.40,7,2.479360,2.897367,0.897443,0.892858,-0.418006,4.540715,16.937517
0,0.50,7,2.205710,2.895605,0.898240,0.895980,-0.689895,3.721525,14.750074
0,0.60,7,2.229515,2.893802,0.899164,0.898273,-0.664287,3.794744,14.942320
0,0.70,7,1.906804,2.891639,0.900247,0.900139,-0.984834,2.828774,12.362794
0,0.80,7,1.977909,2.889815,0.901214,0.901393,-0.911905,3.043913,12.933460
0,0.90,7,1.684831,2.884948,0.903641,0.903990,-1.200117,2.169546,10.593703
0,1.00,7,1.656953,2.880186,0.906089,0.906089,-1.223233,2.090673,10.375438
0,0.00,8,2.479665,2.887000,0.897500,0.871780,-0.407335,4.551996,16.950322
0,0.10,8,2.332432,2.891439,0.895188,0.874379,-0.559008,4.105855,15.768013
0,0.20,8,2.257706,2.895814,0.892966,0.874829,-0.638108,3.877305,15.165837
0,0.30,8,2.078432,2.897016,0.892382,0.880440,-0.818584,3.338280,13.730438
0,0.40,8,1.920875,2.898942,0.891363,0.882157,-0.978068,2.863682,12.468055
0,0.50,8,1.818366,2.899921,0.890889,0.884277,-1.081555,2.555177,11.647007
0,0.60,8,1.712724,2.899813,0.890879,0.886465,-1.187088,2.238360,10.801981
0,0.70,8,1.566570,2.895671,0.893172,0.891317,-1.329101,1.804039,9.636889
0,0.80,8,1.231399,2.900304,0.890705,0.889006,-1.668905,0.793893,6.950888
0,0.90,8,1.330974,2.899300,0.891145,0.890439,-1.568325,1.093623,7.748494
0,1.00,8,1.258619,2.892265,0.894640,0.894640,-1.633646,0.883593,7.176688
0,0.00,9,3.132016,2.893500,0.901000,0.870338,0.238516,6.502548,22.162629
0,0.10,9,2.980144,2.898306,0.898283,0.873833,0.081838,6.042127,20.942849
0,0.20,9,2.582010,2.901555,0.896399,0.877995,-0.319546,4.844474,17.754523
0,0.30,9,2.368701,2.900725,0.896701,0.886671,-0.532024,4.205378,16.048882
0,0.40,9,2.171652,2.900825,0.896431,0.889577,-0.729173,3.614130,14.472388
0,0.50,9,2.119643,2.897435,0.898204,0.895408,-0.777792,3.461493,14.059708
0,0.60,9,1.780489,2.889803,0.902138,0.902897,-1.109315,2.451662,11.354105
0,0.70,9,1.670604,2.880723,0.906912,0.909446,-1.210119,2.131089,10.484110
0,0.80,9,1.391676,2.873446,0.910497,0.912871,-1.481770,1.301582,8.259960
0,0.90,9,1.341602,2.867987,0.913548,0.914942,-1.526385,1.156818,7.864826
0,1.00,9,1.492029,2.860474,0.917288,0.917288,-1.368445,1.615612,9.075756
0,0.00,10,2.441271,2.894000,0.904000,0.916502,-0.452729,4.429814,16.636171
0,0.10,10,2.098781,2.890880,0.905672,0.920723,-0.792099,3.405463,13.899370
0,0.20,10,1.860023,2.886788,0.907837,0.923183,-1.026765,2.693281,11.993394
0,0.30,10,1.569789,2.881052,0.910846,0.926821,-1.311262,1.828316,9.677263
0,0.40,10,1.360162,2.874642,0.914310,0.929776,-1.514480,1.205844,8.006654
0,0.50,10,1.245939,2.868019,0.917824,0.931648,-1.622079,0.869799,7.099496
0,0.60,10,0.991946,2.861674,0.921145,0.932574,-1.869728,0.114164,5.073894
0,0.70,10,1.031687,2.853507,0.925557,0.934796,-1.821819,0.241556,5.399993
0,0.80,10,0.885774,2.846819,0.929049,0.935311,-1.961044,-0.189495,4.239377
0,0.90,10,0.833056,2.839044,0.933227,0.936475,-2.005988,-0.339876,3.825405
0,1.00,10,0.809376,2.832409,0.936645,0.936645,-2.023033,-0.404282,3.642596
0,0.00,11,2.613754,2.895000,0.902000,0.887136,-0.281246,4.946262,18.015032
0,0.10,11,2.514775,2.897452,0.900620,0.888197,-0.382677,4.646872,17.220745
0,0.20,11,2.247796,2.898704,0.899874,0.891368,-0.650908,3.844684,15.083665
0,0.30,11,2.183119,2.900207,0.898914,0.891712,-0.717088,3.649150,14.564745
0,0.40,11,1.873536,2.897112,0.900486,0.898215,-1.023576,2.723496,12.091177
0,0.50,11,1.799439,2.898666,0.899606,0.897211,-1.099227,2.499651,11.496845
0,0.60,11,1.602858,2.895274,0.901434,0.901057,-1.292416,1.913301,9.927593
0,0.70,11,1.460090,2.894052,0.901688,0.901554,-1.433962,1.486217,8.786666
0,0.80,11,1.389188,2.889184,0.904280,0.904850,-1.499996,1.278380,8.224321
0,0.90,11,1.296705,2.884667,0.906563,0.907070,-1.587961,1.005449,7.488975
0,1.00,11,1.354389,2.881838,0.907821,0.907821,-1.527449,1.181329,7.953273
0,0.00,12,4.085681,2.878000,0.888500,0.895592,1.207681,9.379044,29.807451
0,0.10,12,3.796026,2.876486,0.889253,0.896035,0.919540,8.511592,27.491722
0,0.20,12,3.436327,2.873572,0.890751,0.899753,0.562755,7.435408,24.617041
0,0.30,12,3.299360,2.872386,0.891287,0.897790,0.426973,7.025693,23.522492
0,0.40,12,3.088647,2.871044,0.891900,0.897000,0.217603,6.394898,21.838134
0,0.50,12,2.852336,2.865489,0.894767,0.901035,-0.013153,5.691520,19.953201
0,0.60,12,2.764006,2.860862,0.897143,0.902905,-0.096857,5.431155,19.251184
0,0.70,12,2.545432,2.856036,0.899537,0.904267,-0.310604,4.780260,17.507420
0,0.80,12,2.416030,2.851780,0.901740,0.905050,-0.435750,4.396310,16.476458
0,0.90,12,2.299567,2.846141,0.904573,0.906359,-0.546574,4.052559,15.550392
0,1.00,12,2.212275,2.844465,0.905506,0.905506,-0.632190,3.792359,14.853734
0,0.00,13,2.588130,2.881000,0.896500,0.897259,-0.292870,4.883390,17.824040
0,0.10,13,2.424988,2.881076,0.896650,0.897997,-0.456088,4.393889,16.518830
0,0.20,13,2.259128,2.880728,0.897059,0.899296,-0.621600,3.896656,15.192296
0,0.30,13,2.218405,2.879237,0.898065,0.901718,-0.660832,3.775977,14.868001
0,0.40,13,2.037382,2.877101,0.899373,0.903682,-0.839718,3.235046,13.421956
0,0.50,13,1.921422,2.875031,0.900607,0.904714,-0.953609,2.889235,12.496344
0,0.60,13,1.900954,2.874404,0.901113,0.904188,-0.973450,2.828457,12.333224
0,0.70,13,1.850283,2.870067,0.903619,0.906671,-1.019784,2.680783,11.932198
0,0.80,13,1.766116,2.867212,0.905159,0.907324,-1.101096,2.431135,11.261713
0,0.90,13,1.683289,2.862409,0.908075,0.909361,-1.179121,2.187457,10.603901
0,1.00,13,1.402750,2.859728,0.910011,0.910011,-1.456978,1.348522,8.362270
0,0.00,14,3.292962,2.898000,0.910000,0.894542,0.394962,6.980886,23.445697
0,0.10,14,3.195584,2.900771,0.908733,0.897329,0.294813,6.685981,22.663902
0,0.20,14,2.991726,2.902927,0.907853,0.899264,0.088799,6.072252,21.030884
0,0.30,14,2.827449,2.904559,0.907132,0.900440,-0.077110,5.577789,19.715036
0,0.40,14,2.576139,2.904126,0.907616,0.904039,-0.327987,4.824292,17.704988
0,0.50,14,2.566629,2.906310,0.906591,0.903183,-0.339682,4.793575,17.626718
0,0.60,14,2.449898,2.906419,0.906720,0.904533,-0.456521,4.443276,16.692768
0,0.70,14,2.077346,2.904189,0.908052,0.907217,-0.826843,3.327848,13.714578
0,0.80,14,1.961842,2.902561,0.909014,0.908767,-0.940720,2.982963,12.792171
0,0.90,14,1.914417,2.904085,0.908215,0.908016,-0.989668,2.839167,12.411254
0,1.00,14,1.711752,2.899633,0.910671,0.910671,-1.187881,2.235623,10.794384
0,0.00,15,1.993509,2.889000,0.899500,0.861072,-0.895491,3.091527,13.059071
0,0.10,15,1.795423,2.895745,0.895936,0.863864,-1.100322,2.490523,11.467638
0,0.20,15,1.897431,2.903260,0.892003,0.862013,-1.005829,2.789033,12.276187
0,0.30,15,1.699184,2.908714,0.889074,0.864746,-1.209529,2.188840,10.684762
0,0.40,15,1.735658,2.915050,0.885707,0.865018,-1.179392,2.291924,10.970215
0,0.50,15,1.700155,2.920603,0.882823,0.866145,-1.220448,2.179863,10.680639
0,0.60,15,1.662204,2.925034,0.880439,0.867731,-1.262829,2.061579,10.372599
0,0.70,15,1.524883,2.933055,0.876226,0.866252,-1.408173,1.641593,9.266006
0,0.80,15,1.457426,2.937934,0.873719,0.867274,-1.480508,1.434344,8.721474
0,0.90,15,1.444614,2.940582,0.872068,0.869021,-1.495968,1.393259,8.616327
0,1.00,15,1.394202,2.948210,0.868304,0.868304,-1.554007,1.234398,8.205410
0,0.00,16,3.671203,2.892500,0.902500,0.874120,0.778703,8.121109,26.477124
0,0.10,16,3.618325,2.898001,0.899605,0.873548,0.720324,7.956973,26.048596
0,0.20,16,3.065980,2.902920,0.896963,0.874816,0.163060,6.295020,21.624920
0,0.30,16,2.818789,2.908318,0.894155,0.874685,-0.089528,5.548050,19.641997
0,0.40,16,2.572089,2.908314,0.894107,0.881518,-0.336225,4.807954,17.668399
0,0.50,16,2.528673,2.915746,0.890130,0.877760,-0.387073,4.670273,17.313638
0,0.60,16,2.132475,2.918531,0.888664,0.879440,-0.786055,3.478896,14.141272
0,0.70,16,2.029678,2.917004,0.889438,0.883840,-0.887326,3.172031,13.320423
0,0.80,16,1.752815,2.915604,0.890311,0.887263,-1.162789,2.342842,11.106918
0,0.90,16,1.518391,2.922401,0.886457,0.884674,-1.404010,1.632773,9.224730
0,1.00,16,1.316983,2.914746,0.890607,0.890607,-1.597763,1.036203,7.621118
0,0.00,17,3.348546,2.874500,0.888500,0.910699,0.474046,7.171138,23.913867
0,0.10,17,2.959932,2.869788,0.891055,0.914050,0.090143,6.010007,20.809666
0,0.20,17,2.565062,2.863898,0.894278,0.917388,-0.298836,4.831289,17.656602
0,0.30,17,2.055193,2.856421,0.898308,0.921193,-0.801229,3.309157,13.585119
0,0.40,17,1.881266,2.848314,0.902627,0.923818,-0.967048,2.795484,12.201814
0,0.50,17,1.459027,2.840021,0.907119,0.925737,-1.380995,1.537058,8.832191
0,0.60,17,1.446216,2.831395,0.911754,0.927256,-1.385180,1.507252,8.738330
0,0.70,17,1.085960,2.822398,0.916590,0.928628,-1.736439,0.435480,5.865278
0,0.80,17,1.029343,2.812303,0.922060,0.930450,-1.782960,0.275725,5.422438
