mode,alpha,seed,H,kl_noisy,mean_body_out,rho_current,action_var
coupled,0.0,0,0,3.535336,0.883504,1.1447,0.09106489
coupled,0.0,0,15,1.519570,0.985272,0.9900,0.09106489
coupled,0.0,0,30,0.667787,0.983614,0.9900,0.09106489
coupled,0.0,0,45,0.799636,0.982514,0.9900,0.09106489
coupled,0.0,0,60,0.869196,0.982051,0.9900,0.09106489
coupled,0.0,0,75,0.827419,0.981996,0.9900,0.09106489
coupled,0.0,0,90,0.774502,0.981450,0.9900,0.09106489
coupled,0.0,0,105,0.634520,0.981597,0.9900,0.09106489
coupled,0.0,0,120,0.795978,0.981362,0.9900,0.09106489
coupled,0.0,0,135,0.933977,0.981555,0.9900,0.09106489
coupled,0.0,0,150,0.669838,0.981651,0.9900,0.09106489
coupled,0.0,0,165,0.658472,0.981271,0.9900,0.09106489
coupled,0.0,0,180,0.877807,0.981268,0.9900,0.09106489
coupled,0.0,0,195,0.785453,0.981188,0.9900,0.09106489
coupled,0.0,0,210,0.705247,0.981297,0.9900,0.09106489
coupled,0.0,0,225,0.611733,0.981203,0.9900,0.09106489
coupled,0.0,0,240,0.716503,0.981013,0.9900,0.09106489
coupled,0.0,0,255,0.813513,0.980756,0.9900,0.09106489
coupled,0.0,0,270,0.888183,0.981042,0.9900,0.09106489
coupled,0.0,0,285,0.789484,0.981074,0.9900,0.09106489
coupled,0.0,0,300,0.933912,0.981020,0.9900,0.09106489
coupled,0.5,0,0,2.234374,0.903282,1.1447,0.03047428
coupled,0.5,0,15,0.795772,0.987428,0.9900,0.02312294
coupled,0.5,0,30,0.000000,0.985996,0.9900,0.02296864
coupled,0.5,0,45,0.084826,0.985180,0.9900,0.02297672
coupled,0.5,0,60,0.138107,0.984782,0.9900,0.02297427
coupled,0.5,0,75,0.115784,0.984767,0.9900,0.02297718
coupled,0.5,0,90,0.018573,0.984429,0.9900,0.02299957
coupled,0.5,0,105,0.000000,0.984470,0.9900,0.02298545
coupled,0.5,0,120,0.097903,0.984229,0.9900,0.02300790
coupled,0.5,0,135,0.126601,0.984423,0.9900,0.02301820
coupled,0.5,0,150,0.000000,0.984468,0.9900,0.02304570
coupled,0.5,0,165,0.000000,0.984237,0.9900,0.02299494
coupled,0.5,0,180,0.138257,0.984190,0.9900,0.02303454
coupled,0.5,0,195,0.031215,0.984171,0.9900,0.02303610
coupled,0.5,0,210,0.000000,0.984221,0.9900,0.02304448
coupled,0.5,0,225,0.000000,0.984080,0.9900,0.02301830
coupled,0.5,0,240,0.000000,0.983948,0.9900,0.02301258
coupled,0.5,0,255,0.106359,0.983780,0.9900,0.02306809
coupled,0.5,0,270,0.144998,0.984032,0.9900,0.02304375
coupled,0.5,0,285,0.048066,0.984024,0.9900,0.02302791
coupled,0.5,0,300,0.202710,0.983991,0.9900,0.02302105
coupled,1.0,0,0,1.368128,0.915159,1.1447,0.00313505
coupled,1.0,0,15,0.834808,0.988062,0.9900,0.00001834
coupled,1.0,0,30,0.029658,0.986732,0.9900,0.00001774
coupled,1.0,0,45,0.076478,0.986009,0.9900,0.00001832
coupled,1.0,0,60,0.175271,0.985641,0.9900,0.00002014
coupled,1.0,0,75,0.136957,0.985636,0.9900,0.00001918
coupled,1.0,0,90,0.076038,0.985368,0.9900,0.00002104
coupled,1.0,0,105,0.000000,0.985369,0.9900,0.00002029
coupled,1.0,0,120,0.114601,0.985124,0.9900,0.00001955
coupled,1.0,0,135,0.137266,0.985331,0.9900,0.00002137
coupled,1.0,0,150,0.000000,0.985353,0.9900,0.00001977
coupled,1.0,0,165,0.000000,0.985180,0.9900,0.00002209
coupled,1.0,0,180,0.197611,0.985116,0.9900,0.00002127
coupled,1.0,0,195,0.042437,0.985112,0.9900,0.00002250
coupled,1.0,0,210,0.002392,0.985143,0.9900,0.00002153
coupled,1.0,0,225,0.000000,0.984988,0.9900,0.00002122
coupled,1.0,0,240,0.000000,0.984873,0.9900,0.00002258
coupled,1.0,0,255,0.136660,0.984731,0.9900,0.00002406
coupled,1.0,0,270,0.171978,0.984973,0.9900,0.00002163
coupled,1.0,0,285,0.044907,0.984952,0.9900,0.00002077
coupled,1.0,0,300,0.210806,0.984923,0.9900,0.00002134
coupled,-1.0,0,0,2.882759,0.891542,1.1447,0.06289384
coupled,-1.0,0,15,0.942141,0.986776,0.9900,0.04313006
coupled,-1.0,0,30,0.069597,0.985390,0.9900,0.04017080
coupled,-1.0,0,45,0.180649,0.984527,0.9900,0.03995312
coupled,-1.0,0,60,0.232789,0.984144,0.9900,0.03990037
coupled,-1.0,0,75,0.211697,0.984091,0.9900,0.03987865
coupled,-1.0,0,90,0.132220,0.983703,0.9900,0.03988279
coupled,-1.0,0,105,0.020478,0.983772,0.9900,0.03989453
coupled,-1.0,0,120,0.204683,0.983519,0.9900,0.03976090
coupled,-1.0,0,135,0.255789,0.983747,0.9900,0.03998537
coupled,-1.0,0,150,0.034580,0.983792,0.9900,0.03975103
coupled,-1.0,0,165,0.023260,0.983508,0.9900,0.03979354
coupled,-1.0,0,180,0.237549,0.983484,0.9900,0.03993906
coupled,-1.0,0,195,0.140198,0.983430,0.9900,0.03990293
coupled,-1.0,0,210,0.076151,0.983493,0.9900,0.03999269
coupled,-1.0,0,225,0.008320,0.983381,0.9900,0.03976779
coupled,-1.0,0,240,0.038392,0.983227,0.9900,0.03966230
coupled,-1.0,0,255,0.211187,0.983049,0.9900,0.03978121
coupled,-1.0,0,270,0.262426,0.983278,0.9900,0.03992275
coupled,-1.0,0,285,0.172654,0.983300,0.9900,0.03988414
coupled,-1.0,0,300,0.304257,0.983263,0.9900,0.03984114
coupled,0.0,1,0,3.302873,0.881980,0.9000,0.08732222
coupled,0.0,1,15,1.492138,0.966039,0.9900,0.08732222
coupled,0.0,1,30,1.633751,0.971484,0.9900,0.08732222
coupled,0.0,1,45,1.273524,0.976060,0.9900,0.08732222
coupled,0.0,1,60,1.381982,0.977809,0.9900,0.08732222
coupled,0.0,1,75,0.993645,0.978417,0.9900,0.08732222
coupled,0.0,1,90,1.019879,0.977939,0.9900,0.08732222
coupled,0.0,1,105,1.061098,0.978239,0.9900,0.08732222
coupled,0.0,1,120,0.995708,0.978365,0.9900,0.08732222
coupled,0.0,1,135,0.929004,0.978297,0.9900,0.08732222
coupled,0.0,1,150,1.135501,0.978171,0.9900,0.08732222
coupled,0.0,1,165,0.993400,0.977979,0.9900,0.08732222
coupled,0.0,1,180,1.020095,0.978152,0.9900,0.08732222
coupled,0.0,1,195,0.904972,0.978104,0.9900,0.08732222
coupled,0.0,1,210,1.014163,0.977879,0.9900,0.08732222
coupled,0.0,1,225,1.104691,0.977896,0.9900,0.08732222
coupled,0.0,1,240,1.050445,0.978075,0.9900,0.08732222
coupled,0.0,1,255,1.174953,0.978042,0.9900,0.08732222
coupled,0.0,1,270,1.122937,0.978262,0.9900,0.08732222
coupled,0.0,1,285,1.084609,0.977906,0.9900,0.08732222
coupled,0.0,1,300,1.034530,0.978262,0.9900,0.08732222
coupled,0.5,1,0,2.248710,0.895628,0.9000,0.03716414
coupled,0.5,1,15,0.672154,0.969714,0.9900,0.02288229
coupled,0.5,1,30,0.851927,0.974582,0.9900,0.02264012
coupled,0.5,1,45,0.492097,0.978771,0.9900,0.02240137
coupled,0.5,1,60,0.585706,0.980453,0.9900,0.02243422
coupled,0.5,1,75,0.283703,0.981085,0.9900,0.02241727
coupled,0.5,1,90,0.293862,0.980817,0.9900,0.02242300
coupled,0.5,1,105,0.327475,0.980974,0.9900,0.02239072
coupled,0.5,1,120,0.364134,0.980993,0.9900,0.02235793
coupled,0.5,1,135,0.236114,0.980970,0.9900,0.02251058
coupled,0.5,1,150,0.461404,0.980967,0.9900,0.02242204
coupled,0.5,1,165,0.310511,0.980794,0.9900,0.02240818
coupled,0.5,1,180,0.315110,0.980900,0.9900,0.02236346
coupled,0.5,1,195,0.263230,0.980921,0.9900,0.02236577
coupled,0.5,1,210,0.285897,0.980652,0.9900,0.02236104
coupled,0.5,1,225,0.396834,0.980668,0.9900,0.02242820
coupled,0.5,1,240,0.390131,0.980843,0.9900,0.02239223
coupled,0.5,1,255,0.462886,0.980809,0.9900,0.02243103
coupled,0.5,1,270,0.442435,0.980955,0.9900,0.02244141
coupled,0.5,1,285,0.364635,0.980644,0.9900,0.02244956
coupled,0.5,1,300,0.354859,0.980866,0.9900,0.02237873
coupled,1.0,1,0,1.633611,0.903554,0.9000,0.00939690
coupled,1.0,1,15,0.647599,0.970979,0.9900,0.00010514
coupled,1.0,1,30,0.822187,0.975552,0.9900,0.00007873
coupled,1.0,1,45,0.441773,0.979559,0.9900,0.00004851
coupled,1.0,1,60,0.531025,0.981293,0.9900,0.00004765
coupled,1.0,1,75,0.298116,0.981982,0.9900,0.00004118
coupled,1.0,1,90,0.284497,0.981818,0.9900,0.00004045
coupled,1.0,1,105,0.355376,0.981930,0.9900,0.00004036
coupled,1.0,1,120,0.338401,0.981921,0.9900,0.00003949
coupled,1.0,1,135,0.225059,0.981915,0.9900,0.00004673
coupled,1.0,1,150,0.474057,0.981970,0.9900,0.00004157
coupled,1.0,1,165,0.282500,0.981815,0.9900,0.00004273
coupled,1.0,1,180,0.327684,0.981895,0.9900,0.00003823
coupled,1.0,1,195,0.278831,0.981933,0.9900,0.00003878
coupled,1.0,1,210,0.286303,0.981653,0.9900,0.00003915
coupled,1.0,1,225,0.405744,0.981656,0.9900,0.00004031
coupled,1.0,1,240,0.363560,0.981818,0.9900,0.00003980
coupled,1.0,1,255,0.433567,0.981791,0.9900,0.00004206
coupled,1.0,1,270,0.461287,0.981903,0.9900,0.00004241
coupled,1.0,1,285,0.363020,0.981599,0.9900,0.00004245
coupled,1.0,1,300,0.343586,0.981776,0.9900,0.00004022
coupled,-1.0,1,0,2.606616,0.888786,0.9000,0.05845160
coupled,-1.0,1,15,0.805386,0.968464,0.9900,0.03746980
coupled,-1.0,1,30,0.985926,0.973326,0.9900,0.03789619
coupled,-1.0,1,45,0.636217,0.977743,0.9900,0.03748053
coupled,-1.0,1,60,0.718876,0.979540,0.9900,0.03725829
coupled,-1.0,1,75,0.404839,0.980356,0.9900,0.03719106
coupled,-1.0,1,90,0.393281,0.980085,0.9900,0.03703878
coupled,-1.0,1,105,0.448696,0.980256,0.9900,0.03708827
coupled,-1.0,1,120,0.467017,0.980310,0.9900,0.03712474
coupled,-1.0,1,135,0.351290,0.980266,0.9900,0.03724474
coupled,-1.0,1,150,0.580257,0.980301,0.9900,0.03713969
coupled,-1.0,1,165,0.424772,0.980168,0.9900,0.03724330
coupled,-1.0,1,180,0.428987,0.980269,0.9900,0.03724483
coupled,-1.0,1,195,0.367782,0.980194,0.9900,0.03716391
coupled,-1.0,1,210,0.401073,0.979989,0.9900,0.03705985
coupled,-1.0,1,225,0.520339,0.979952,0.9900,0.03697569
coupled,-1.0,1,240,0.486136,0.980114,0.9900,0.03707572
coupled,-1.0,1,255,0.578042,0.980119,0.9900,0.03713855
coupled,-1.0,1,270,0.551270,0.980273,0.9900,0.03726268
coupled,-1.0,1,285,0.472808,0.979953,0.9900,0.03723928
coupled,-1.0,1,300,0.441839,0.980199,0.9900,0.03705570
coupled,0.0,2,0,3.221727,0.880850,0.8168,0.09371156
coupled,0.0,2,15,0.863633,0.983915,0.9900,0.09371156
coupled,0.0,2,30,1.021684,0.982043,0.9900,0.09371156
coupled,0.0,2,45,1.054084,0.978745,0.9900,0.09371156
coupled,0.0,2,60,0.816555,0.977686,0.9900,0.09371156
coupled,0.0,2,75,0.833935,0.977127,0.9900,0.09371156
coupled,0.0,2,90,0.877269,0.976825,0.9900,0.09371156
coupled,0.0,2,105,0.833641,0.976378,0.9900,0.09371156
coupled,0.0,2,120,0.901199,0.975813,0.9900,0.09371156
coupled,0.0,2,135,0.847400,0.975729,0.9900,0.09371156
coupled,0.0,2,150,0.844400,0.975444,0.9900,0.09371156
coupled,0.0,2,165,0.948693,0.974418,0.9900,0.09371156
coupled,0.0,2,180,0.813981,0.974806,0.9900,0.09371156
coupled,0.0,2,195,0.843784,0.974601,0.9900,0.09371156
coupled,0.0,2,210,1.028469,0.974238,0.9900,0.09371156
coupled,0.0,2,225,0.775614,0.973771,0.9900,0.09371156
coupled,0.0,2,240,0.909878,0.974150,0.9900,0.09371156
coupled,0.0,2,255,0.658092,0.974447,0.9900,0.09371156
coupled,0.0,2,270,0.681129,0.974541,0.9900,0.09371156
coupled,0.0,2,285,0.714771,0.974395,0.9900,0.09371156
coupled,0.0,2,300,0.931998,0.974619,0.9900,0.09371156
coupled,0.5,2,0,1.786085,0.902724,0.8168,0.03184775
coupled,0.5,2,15,0.074780,0.986584,0.9900,0.02391552
coupled,0.5,2,30,0.105605,0.984583,0.9900,0.02393933
coupled,0.5,2,45,0.265107,0.981789,0.9900,0.02400388
coupled,0.5,2,60,0.058702,0.980894,0.9900,0.02405449
coupled,0.5,2,75,0.043895,0.980438,0.9900,0.02403734
coupled,0.5,2,90,0.160706,0.980020,0.9900,0.02408441
coupled,0.5,2,105,0.090808,0.979633,0.9900,0.02413329
coupled,0.5,2,120,0.115147,0.979145,0.9900,0.02415847
coupled,0.5,2,135,0.121424,0.978817,0.9900,0.02404346
coupled,0.5,2,150,0.110671,0.978586,0.9900,0.02410603
coupled,0.5,2,165,0.187940,0.977801,0.9900,0.02411947
coupled,0.5,2,180,0.031809,0.978009,0.9900,0.02409579
coupled,0.5,2,195,0.131931,0.977965,0.9900,0.02407071
coupled,0.5,2,210,0.272946,0.977729,0.9900,0.02409518
coupled,0.5,2,225,0.000000,0.977393,0.9900,0.02420914
coupled,0.5,2,240,0.209416,0.977599,0.9900,0.02416203
coupled,0.5,2,255,0.000000,0.977942,0.9900,0.02414208
coupled,0.5,2,270,0.000000,0.978076,0.9900,0.02415859
coupled,0.5,2,285,0.055052,0.977856,0.9900,0.02409000
coupled,0.5,2,300,0.177041,0.978013,0.9900,0.02414921
coupled,1.0,2,0,1.074943,0.918079,0.8168,0.00250118
coupled,1.0,2,15,0.096489,0.987412,0.9900,0.00002308
coupled,1.0,2,30,0.082815,0.985493,0.9900,0.00003026
coupled,1.0,2,45,0.274819,0.982877,0.9900,0.00003639
coupled,1.0,2,60,0.031470,0.982019,0.9900,0.00004320
