d,defect_length,seed,detection_time,alpha_min_reached,recovery_time,sentinel_payoff,tft_payoff
5,10,0,0,0.050000,43,3155.5107,3011.0000
5,50,0,1,0.050000,51,3192.1311,3051.0000
5,100,0,1,0.050000,52,3239.7790,3101.0000
5,200,0,1,0.050000,51,3334.3435,3201.0000
5,500,0,0,0.050000,79,3618.2348,3501.0000
5,10,1,1,0.050000,34,3022.3302,3011.0000
5,50,1,1,0.050000,92,3062.6897,3051.0000
5,100,1,1,0.050000,114,3111.8768,3101.0000
5,200,1,1,0.050000,0,3211.8937,3201.0000
5,500,1,1,0.050000,0,3510.7333,3501.0000
5,10,2,1,0.050000,33,3040.2478,3011.0000
5,50,2,1,0.050000,48,3081.0384,3051.0000
5,100,2,1,0.050000,58,3130.2991,3101.0000
5,200,2,1,0.050000,69,3226.4359,3201.0000
5,500,2,1,0.050000,73,3517.9088,3501.0000
5,10,3,1,0.050000,33,3010.8818,3011.0000
5,50,3,1,0.050000,33,3049.0036,3051.0000
5,100,3,1,0.050000,33,3096.4554,3101.0000
5,200,3,1,0.050000,34,3191.6363,3201.0000
5,500,3,1,0.050000,34,3477.1562,3501.0000
5,10,4,1,0.050000,36,3095.8356,3011.0000
5,50,4,1,0.050000,53,3132.9723,3051.0000
5,100,4,1,0.050000,80,3179.9153,3101.0000
5,200,4,1,0.050000,87,3281.0607,3201.0000
5,500,4,1,0.050000,80,3565.9199,3501.0000
5,10,5,1,0.050000,42,3074.8348,3011.0000
5,50,5,1,0.050000,110,3113.2371,3051.0000
5,100,5,1,0.050000,128,3161.5715,3101.0000
5,200,5,1,0.050000,0,3263.8559,3201.0000
5,500,5,1,0.050000,0,3560.3350,3501.0000
5,10,6,1,0.050000,35,3025.0258,3011.0000
5,50,6,1,0.050000,48,3063.7791,3051.0000
5,100,6,1,0.050000,104,3113.1656,3101.0000
5,200,6,1,0.050000,113,3211.5044,3201.0000
5,500,6,1,0.050000,93,3504.3394,3501.0000
5,10,7,0,0.050000,500,3139.2551,3011.0000
5,50,7,0,0.050000,500,3174.9247,3051.0000
5,100,7,0,0.050000,500,3226.7479,3101.0000
5,200,7,0,0.050000,500,3311.3271,3201.0000
5,500,7,0,0.050000,500,3610.1362,3501.0000
5,10,8,1,0.050000,33,3025.9432,3011.0000
5,50,8,1,0.050000,33,3064.0169,3051.0000
5,100,8,1,0.050000,33,3111.5263,3101.0000
5,200,8,1,0.050000,34,3206.9959,3201.0000
5,500,8,1,0.050000,34,3492.1341,3501.0000
5,10,9,1,0.050000,35,3026.5756,3011.0000
5,50,9,1,0.050000,99,3066.7723,3051.0000
5,100,9,1,0.050000,122,3115.0173,3101.0000
5,200,9,1,0.050000,0,3216.6415,3201.0000
5,500,9,1,0.050000,0,3515.0886,3501.0000
5,10,10,1,0.050000,34,3044.6664,3011.0000
5,50,10,1,0.050000,39,3084.9968,3051.0000
5,100,10,1,0.050000,48,3132.1794,3101.0000
5,200,10,1,0.050000,61,3227.0908,3201.0000
5,500,10,1,0.050000,70,3515.2688,3501.0000
5,10,11,1,0.050000,34,3027.0957,3011.0000
5,50,11,1,0.050000,53,3065.4548,3051.0000
5,100,11,1,0.050000,89,3114.2721,3101.0000
5,200,11,1,0.050000,90,3212.3625,3201.0000
